CU WBS #,CU,Unit Of Measure,Description,Compatible Unit Group,Install Hours,Removal Hours,Transfer Hours,Install Price,Removal Price,Transfer Price
CU-1,ADDITEM-ROW-PURCHASE,EA,"Additional Item, Right of Way, Purchase",MO,N/A,N/A,N/A,$0.00,$0.00,$0.00
CU-2,ALB-6-AUR1,EA,"ALB,6ft Alum Upsweep,Round 1 1/4"" Dia",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-3,ALB-C-2-S-2-F,EA,"ALB,Conc,2Ft,Steel,2P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-4,ALB-C-S-1-F,EA,"ALB,Conc,Steel,1P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-5,ALB-C-S-2-F,EA,"ALB,Conc,Steel,2P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-6,ALB-C-S-3-F,EA,"ALB,Conc,Steel,3P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-7,ALB-C-S-4-F,EA,"ALB,Conc,Steel,4P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-8,ALB-F-S-1-S-BR,EA,"ALB,Fbgls,Steel,1P,Shoebox,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-9,ALB-F-S-2-F-BR,EA,"ALB,Fbgls,Steel,2P,Flood,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-10,ALB-F-S-2L-S-BR,EA,"ALB,Fbgls,Steel,2PL,Shoebox,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-11,ALB-F-S-3-F,EA,"ALB,Fbgls,Steel,3P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-12,ALB-F-S-3-S-BR,EA,"ALB,Fbgls,Steel,3P,Shoebox,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-13,ALB-F-S-4-F,EA,"ALB,Fbgls,Steel,4P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-14,ALB-F-S-4-F-BR,EA,"ALB,Fbgls,Steel,4P,Flood,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-15,ALB-F-S-4-S-BR,EA,"ALB,Fbgls,Steel,4P,Shoebox,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-16,ALB-W-1-S-1-F,EA,"ALB,Wood,1ft,Steel,1P,Flood",LB,0.1440,0.0800,0.2080,$51.05,$37.03,$118.38
CU-17,ALB-W-10-S-1-A,EA,"ALB,Wood,10ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-18,ALB-W-12-S-1-A,EA,"ALB,Wood,12ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-19,ALB-W-14-S-1-A,EA,"ALB,Wood,14ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-20,ALB-W-16-S-1-A,EA,"ALB,Wood,16ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-21,ALB-W-18-A-1-F,EA,"ALB,Wood mnt,18 in ,Alum,1Pos, Flood",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-22,ALB-W-30-A-1-A,EA,"ALB,Wood,30in,Alum,1P,Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-23,ALB-W-30-S-1-A,EA,"ALB,Wood,30in,Steel,1P,Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-24,ALB-W-4-S-1-A,EA,"ALB,Wood,4ft,Steel,1P,Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-25,ALB-W-6-A-1-A,EA,"ALB, Wood mnt,6 ft,alum ,1 pos., Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-26,ALB-W-6-S-1-A,EA,"ALB,Wood,6ft,Steel,1P,Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-27,ALB-W-8-S-1-A,EA,"ALB,Wood,8ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-28,ALB-W-S-2-F-BR,EA,"ALB,Wood,Steel,2P,Flood,Brnz",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-29,ALB-W-S-3-F-BR,EA,"ALB,Wood,Steel,3P,Flood,Brnz",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-30,ALB-W-S-A-F,EA,"ALB,Wood,Steel,Adpt,Flood",LB,0.1440,0.0800,0.2080,$51.05,$37.03,$118.38
CU-31,ALT-100-S-D-120-PC-GR,EA,"ALT,100,Sodium,Decortv,120,PstCntp,Grey",LT,0.3360,0.2240,0.0000,$76.75,$54.35,$128.82
CU-32,ALT-100-S-D-120-PT-BK,EA,"ALT,100,Sodium,Decortv,120,PstTrad,BlcK",LT,0.3360,0.2240,0.0000,$76.75,$54.35,$128.82
CU-33,ALT-100-S-E-120-SF,EA,"ALT,100,Sodium,Enclose,120,SlipFit",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-34,ALT-100-S-F-120-PT-BK,EA,"ALT,100,Sodium,Flood,120,PstTrad,BlcK",LT,0.3360,0.2240,0.0000,$76.75,$54.35,$128.82
CU-35,ALT-100-S-F-120-SF-GR,EA,"ALT,100,Sodium,Flood,120,SlipFit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-36,ALT-100-S-F-120-YK-GR,EA,"ALT,100,Sodium,Flood,120,Yoke,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-37,ALT-100-S-O-120-SF,EA,"ALT,100,Sodium,Open,120,SlipFit",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-38,ALT-100-S-S-120-SF-BZ,EA,"ALT,100,Sodium,Shoebox,120,SlipFit,BrnZ",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-39,ALT-100-SFMSG,EA,"100W,HPS,Fld,Slip-Fit,Multi-Volt,Gray",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-40,ALT-100-SFYG,EA,"100W 120V Sodium Floodligt, Yoke, Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-41,ALT-100-SOH,EA,"ALT,100,Sodium,Open,120,SlipFit, hd",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-42,ALT-100-SOHC,EA,"ALT,100,Sodium,Open,120,SlipFit,hd,ctoff",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-43,ALT-100-SOP,EA,"ALT,100,Sodium,Open,120,SlipFit, pkg",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-44,ALT-100-SOPC,EA,"ALT,100,Sodium,Open,120,SlipFt,pkg,ctoff",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-45,ALT-100-SPBC,EA,"100W 120V Sodium PostTop,Black,Contempry",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-46,ALT-100-SPBC4,EA,"100W 480V Sodium PostTop,Black,Contempry",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-47,ALT-100-SPBT,EA,"100W 120V Sodium Post-Top,Blk,Traditionl",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-48,ALT-100-SPGC,EA,"100W 120V Sodium Post-Top,Grey,Contempry",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-49,ALT-100-SPGT,EA,"100W 120V Sodium PostTop,Grey,Traditionl",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-50,ALT-100-SR,EA,100W 120V Sodium Roadway Refractor,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-51,ALT-100-SRC,EA,100W 120V Sodium Roadway Cutoff Refracto,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
